evaluation_verdicts,loser,verdict,winner
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1230,not_supported,old_monoallelic__pr__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1750,not_supported,old_monoallelic__pr__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1755,not_supported,old_monoallelic__pr__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1925,not_supported,old_monoallelic__pr__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1926,not_supported,old_monoallelic__pr__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1930,not_supported,old_monoallelic__pr__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2275,not_supported,old_monoallelic__pr__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2280,not_supported,old_monoallelic__pr__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2450,not_supported,old_monoallelic__pr__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2455,not_supported,old_monoallelic__pr__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2460,not_supported,old_monoallelic__pr__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2625,not_supported,old_monoallelic__pr__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2626,not_supported,old_monoallelic__pr__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2630,not_supported,old_monoallelic__pr__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2631,not_supported,old_monoallelic__pr__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2635,not_supported,old_monoallelic__pr__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_525,not_supported,old_monoallelic__pr__regime_1575
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1050,not_supported,old_monoallelic__pr__regime_1750
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1225,not_supported,old_monoallelic__pr__regime_1750
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1230,not_supported,old_monoallelic__pr__regime_1750
"{""nci"":""supported""}",old_monoallelic__pr__regime_1575,supported,old_monoallelic__pr__regime_1750
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1755,not_supported,old_monoallelic__pr__regime_1750
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1925,not_supported,old_monoallelic__pr__regime_1750
"{""nci"":""supported""}",old_monoallelic__pr__regime_1926,supported,old_monoallelic__pr__regime_1750
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1930,not_supported,old_monoallelic__pr__regime_1750
"{""nci"":""supported""}",old_monoallelic__pr__regime_2275,supported,old_monoallelic__pr__regime_1750
"{""nci"":""supported""}",old_monoallelic__pr__regime_2280,supported,old_monoallelic__pr__regime_1750
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2450,not_supported,old_monoallelic__pr__regime_1750
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2455,not_supported,old_monoallelic__pr__regime_1750
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2460,not_supported,old_monoallelic__pr__regime_1750
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2625,not_supported,old_monoallelic__pr__regime_1750
"{""nci"":""supported""}",old_monoallelic__pr__regime_2626,supported,old_monoallelic__pr__regime_1750
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2630,not_supported,old_monoallelic__pr__regime_1750
"{""nci"":""supported""}",old_monoallelic__pr__regime_2631,supported,old_monoallelic__pr__regime_1750
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2635,not_supported,old_monoallelic__pr__regime_1750
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_525,not_supported,old_monoallelic__pr__regime_1750
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1050,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1225,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1230,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1575,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1750,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1925,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1926,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1930,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2275,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2280,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2450,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2455,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2460,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2625,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2626,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2630,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2631,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2635,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_525,not_supported,old_monoallelic__pr__regime_1755
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1050,not_supported,old_monoallelic__pr__regime_1925
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1225,not_supported,old_monoallelic__pr__regime_1925
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1230,not_supported,old_monoallelic__pr__regime_1925
"{""nci"":""supported""}",old_monoallelic__pr__regime_1575,supported,old_monoallelic__pr__regime_1925
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1750,not_supported,old_monoallelic__pr__regime_1925
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1755,not_supported,old_monoallelic__pr__regime_1925
"{""nci"":""supported""}",old_monoallelic__pr__regime_1926,supported,old_monoallelic__pr__regime_1925
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1930,not_supported,old_monoallelic__pr__regime_1925
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2275,not_supported,old_monoallelic__pr__regime_1925
"{""nci"":""supported""}",old_monoallelic__pr__regime_2280,supported,old_monoallelic__pr__regime_1925
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2450,not_supported,old_monoallelic__pr__regime_1925
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2455,not_supported,old_monoallelic__pr__regime_1925
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2460,not_supported,old_monoallelic__pr__regime_1925
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2625,not_supported,old_monoallelic__pr__regime_1925
"{""nci"":""supported""}",old_monoallelic__pr__regime_2626,supported,old_monoallelic__pr__regime_1925
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2630,not_supported,old_monoallelic__pr__regime_1925
"{""nci"":""supported""}",old_monoallelic__pr__regime_2631,supported,old_monoallelic__pr__regime_1925
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2635,not_supported,old_monoallelic__pr__regime_1925
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_525,not_supported,old_monoallelic__pr__regime_1925
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1050,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1225,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1230,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1575,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1750,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1755,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1925,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1930,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2275,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2280,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2450,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2455,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2460,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2625,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2626,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2630,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2631,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2635,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_525,not_supported,old_monoallelic__pr__regime_1926
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1050,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1225,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""supported""}",old_monoallelic__pr__regime_1230,supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1575,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1750,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1755,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1925,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1926,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2275,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2280,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2450,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2455,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2460,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2625,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2626,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2630,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2631,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2635,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_525,not_supported,old_monoallelic__pr__regime_1930
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1050,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1225,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1230,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1575,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1750,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1755,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1925,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1926,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1930,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2280,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2450,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2455,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2460,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2625,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2626,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2630,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2631,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2635,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_525,not_supported,old_monoallelic__pr__regime_2275
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1050,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1225,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1230,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1575,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1750,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1755,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1925,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1926,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1930,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2275,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2450,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2455,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2460,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2625,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2626,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2630,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2631,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2635,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_525,not_supported,old_monoallelic__pr__regime_2280
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1050,not_supported,old_monoallelic__pr__regime_2450
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1225,not_supported,old_monoallelic__pr__regime_2450
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1230,not_supported,old_monoallelic__pr__regime_2450
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1575,not_supported,old_monoallelic__pr__regime_2450
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1750,not_supported,old_monoallelic__pr__regime_2450
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1755,not_supported,old_monoallelic__pr__regime_2450
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1925,not_supported,old_monoallelic__pr__regime_2450
"{""nci"":""supported""}",old_monoallelic__pr__regime_1926,supported,old_monoallelic__pr__regime_2450
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1930,not_supported,old_monoallelic__pr__regime_2450
"{""nci"":""supported""}",old_monoallelic__pr__regime_2275,supported,old_monoallelic__pr__regime_2450
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2280,not_supported,old_monoallelic__pr__regime_2450
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2455,not_supported,old_monoallelic__pr__regime_2450
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2460,not_supported,old_monoallelic__pr__regime_2450
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2625,not_supported,old_monoallelic__pr__regime_2450
"{""nci"":""supported""}",old_monoallelic__pr__regime_2626,supported,old_monoallelic__pr__regime_2450
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2630,not_supported,old_monoallelic__pr__regime_2450
"{""nci"":""supported""}",old_monoallelic__pr__regime_2631,supported,old_monoallelic__pr__regime_2450
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2635,not_supported,old_monoallelic__pr__regime_2450
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_525,not_supported,old_monoallelic__pr__regime_2450
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1050,not_supported,old_monoallelic__pr__regime_2455
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1225,not_supported,old_monoallelic__pr__regime_2455
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1230,not_supported,old_monoallelic__pr__regime_2455
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1575,not_supported,old_monoallelic__pr__regime_2455
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1750,not_supported,old_monoallelic__pr__regime_2455
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1755,not_supported,old_monoallelic__pr__regime_2455
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1925,not_supported,old_monoallelic__pr__regime_2455
"{""nci"":""supported""}",old_monoallelic__pr__regime_1926,supported,old_monoallelic__pr__regime_2455
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1930,not_supported,old_monoallelic__pr__regime_2455
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2275,not_supported,old_monoallelic__pr__regime_2455
"{""nci"":""supported""}",old_monoallelic__pr__regime_2280,supported,old_monoallelic__pr__regime_2455
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2450,not_supported,old_monoallelic__pr__regime_2455
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2460,not_supported,old_monoallelic__pr__regime_2455
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2625,not_supported,old_monoallelic__pr__regime_2455
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2626,not_supported,old_monoallelic__pr__regime_2455
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2630,not_supported,old_monoallelic__pr__regime_2455
"{""nci"":""supported""}",old_monoallelic__pr__regime_2631,supported,old_monoallelic__pr__regime_2455
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2635,not_supported,old_monoallelic__pr__regime_2455
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_525,not_supported,old_monoallelic__pr__regime_2455
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1050,not_supported,old_monoallelic__pr__regime_2460
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1225,not_supported,old_monoallelic__pr__regime_2460
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1230,not_supported,old_monoallelic__pr__regime_2460
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1575,not_supported,old_monoallelic__pr__regime_2460
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1750,not_supported,old_monoallelic__pr__regime_2460
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1755,not_supported,old_monoallelic__pr__regime_2460
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1925,not_supported,old_monoallelic__pr__regime_2460
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1926,not_supported,old_monoallelic__pr__regime_2460
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_1930,not_supported,old_monoallelic__pr__regime_2460
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2275,not_supported,old_monoallelic__pr__regime_2460
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2280,not_supported,old_monoallelic__pr__regime_2460
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2450,not_supported,old_monoallelic__pr__regime_2460
"{""nci"":""not_supported""}",old_monoallelic__pr__regime_2455,not_supported,old_monoallelic__pr__regime_2460
