evaluation_verdicts,loser,verdict,winner
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2653,not_supported,mono_q_full_pn__roc__regime_2453
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2676,not_supported,mono_q_full_pn__roc__regime_2453
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2677,not_supported,mono_q_full_pn__roc__regime_2453
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_1750,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_1925,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_1976,supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2104,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2128,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2275,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2277,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2278,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2279,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2326,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2450,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2452,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2453,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2476,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2625,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2629,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2653,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2676,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2677,not_supported,mono_q_full_pn__roc__regime_2454
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_1750,supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_1925,not_supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_1976,supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2104,not_supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2128,not_supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2275,not_supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2277,supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2278,supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2279,supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2326,supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2450,not_supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2452,supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2453,supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2454,supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2625,not_supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2629,supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2653,supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2676,not_supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2677,not_supported,mono_q_full_pn__roc__regime_2476
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_1750,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_1925,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_1976,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2104,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2128,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2275,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2277,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2278,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2279,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2326,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2450,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2452,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2453,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2454,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2476,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2629,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2653,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2676,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2677,supported,mono_q_full_pn__roc__regime_2625
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_1750,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_1925,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_1976,supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2104,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2128,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2275,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2277,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2278,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2279,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2326,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2450,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2452,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2453,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2454,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2476,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2625,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2653,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2676,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2677,not_supported,mono_q_full_pn__roc__regime_2629
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_1750,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_1925,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_1976,supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2104,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2128,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2275,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2277,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2278,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2279,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2326,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2450,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2452,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2453,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2454,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2476,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2625,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2629,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2676,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2677,not_supported,mono_q_full_pn__roc__regime_2653
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_1750,supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_1925,supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_1976,supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2104,supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2128,supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2275,not_supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2277,supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2278,supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2279,supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2326,supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2450,not_supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2452,supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2453,supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2454,supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2476,supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2625,not_supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2629,supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2653,supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2677,supported,mono_q_full_pn__roc__regime_2676
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_1750,supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_1925,not_supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_1976,supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2104,not_supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2128,not_supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2275,not_supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2277,supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2278,supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2279,supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2326,supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2450,not_supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2452,supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2453,supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2454,supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2476,not_supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2625,not_supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2629,supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""supported""}",mono_q_full_pn__roc__regime_2653,supported,mono_q_full_pn__roc__regime_2677
"{""nci"":""not_supported""}",mono_q_full_pn__roc__regime_2676,not_supported,mono_q_full_pn__roc__regime_2677
